Record - metadata - oai_dc:dc - xsi:schemaLocation	dc:subject	Record - metadata - oai_dc:dc - dc:subject - xsi:type	Record - metadata - oai_dc:dc - dc:subject - ddb:GND-Nr	dc:creator	dc:type	Record - metadata - oai_dc:dc - dc:audience	dc:identifier	dc:rights	dc:title	dc:format	dc:date	dc:language	dc:description	Record - metadata - oai_dc:dc - dc:relation	dc:contributor	dc:publisher	dc:source	Record - header - setSpec	Record - header - datestamp
	interdisziplinäre Herangehensweise				doc-type:doctoralThesis	Students							"The consequences of climate change face cities across the globe with new challenges. Particularly the increased frequency of heavy rainfall events lead to urban flooding which induces immense damage and thus results in substantial costs in the urban area. Consequently, numerous local administrations are developing concepts to adapt their city by implementing structural measures. However, only few simultaneously utilise the transformation of their drainage system as an opportunity to revitalise existing urban quarters. These include New York City, Rotterdam and Singapore. They develop integrated concepts for stormwater management on a city-wide scale which take public space into account.

This dissertation analyses which large-scale design strategies and planning tools are suitable to implement integrated stormwater management (ISWM) on a city-wide level. The ISWM describes an ideal procedure when it comes to the implementation of a water-sensitive form of urban development. The central focus is placed on the qualification of highly dense inner-city areas. The large-scale design strategy hereby defines the strategic approach to dealing with (storm-) water which simultaneously provides design qualities for diverse urban landscapes. The aim of the dissertation is not only to define practically relevant criteria for the application of large-scale design strategies, but also to derive a set of recommendations for the implementation of the ISWM. To this end, the dissertation begins with an analysis of the working process observable in the international reference cities of New York, Rotterdam and Singapore and derives a set of thirteen typical ISWM-working steps. Furthermore, three different large-scale design strategies are identified and appropriate application criteria determined. The transferability of the working steps and design strategies are subsequently tested using Hamburg as an example. 

A few years ago, Hamburg already began implementing an integrated stormwater management. Its hitherto status is analysed with reference to the typical ISWM-working steps previously identified. Subsequently, the dissertation highlights the application potential of the design strategies based on an exemplary area of study and derives a set of recommendations for the remaining working process in Hamburg. The four cities show that the implementation of integrated adaptation concepts contributes to achieving a sustainable urban development. 

The ISWM-working steps and large-scale design strategies are particularly suitable for local administrations whose city areas already exhibit drainage problems caused by pluvial or fluvial flooding or are likely to be affected in the future as a result of climate change. If additionally characterised by quality deficits in public space or a lack of open space, an integrated planning approach to conversion should be implemented."					col_hcu_15	
	climate adaptation																	open_access	
	interdisciplinary approach																	doc-type:doctoralThesis	
	620 Ingenieurwissenschaften und Maschinenbau																	ddc:620	
	Regenwasser																		
	Klimaänderung																		
	Öffentlicher Raum																		
	Gestaltung																		
	ddc:																		
	Regenwasser	xMetaDiss:GND																	
	Klimaänderung	xMetaDiss:GND																	
	Öffentlicher Raum	xMetaDiss:GND	4172385-5																
	Gestaltung	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Stadt- und Regionalplanung			Deppisch, Sonja	Research Report	Researchers	978-3-941722-25-5	info:eu-repo/semantics/openAccess	Klimawandel und Raumentwicklung: Anpassungsstrategien der Stadt- und Regionalplanung in Stadtregionen der Küstenzone am Beispiel des Ostseeraumes : Schlussbericht plan B:altic.	application/pdf	2015-01-01	ger	"Es ist unsicher, wie sich der Klimawandel künftig regional und lokal im Ostseeraum entwickeln wird und welche spezifischen Klimawirkungen auftreten werden. Trotzdem können für die küstennahen Stadtregionen neue Probleme beispielsweise durch steigende Temperaturen erwartet werden. Daher werden Strategien zum Umgang mit potenziellen Klimawandelfolgen erforderlich. Gerade in Städten an der Ostseeküste sind hierbei vielfältige stadtregionale Zusammenhänge und Rahmenbedingungen zu berücksichtigen, was einen sozial-ökologischen Forschungsansatz nahelegt. In dieser Situation stellen sich besondere Anforderungen an die Stadt- und Regionalplanung, um eine nachhaltige und zukunftsfähige Entwicklung der küstennahen Stadtregionen zu gewährleisten. 
Für die Entwicklung von Anpassungsstrategien der Stadt- und Regionalplanung müssen die gesellschaftlichen Akteure mit ihren verschiedenen Interessen sowie die zukünftigen sozialen und ökologischen Entwicklungen und deren potenzielle Folgen und Wechselwirkungen einbezogen werden. Vor diesem Hintergrund zielte das Projekt darauf ab die folgenden Hauptforschungsfragen zu beantworten: 1)Welche Herausforderungen stellen sich für die Raumplanung durch die spezifischen Charakteristika des Klimawandels? 2)Welche spezifischen Herausforderungen ergeben sich dabei daraus, dass Stadtregionen als sozial-ökologische Systeme betrachtet werden können? 3)Wie kann die Stadt- und Regionalplanung mit diesen Herausforderungen umgehen und welche Möglichkeiten und Restriktionen ergeben sich durch die Verfasstheit der räumlichen Planung im Umgang mit den Auswirkungen des Klimawandels? 
Im interdisziplinären Verbund waren sieben interdisziplinär zusammenarbeitende Teilprojekte vertreten, innerhalb derer verschiedene  Forschungsperspektiven aus Natur-, Gesellschafts- und Planungswissenschaften eingenommen wurden. Dementsprechend vielfältige empirische Methoden qualitativer und quantitativer Forschung kamen zum Einsatz. Über das Querschnittsprojekt zum Thema sozial-ökologische Resilienz fand ein intensiver interdisziplinärer Austausch statt. Überdies fand eine transdisziplinäre Zusammenarbeit mit Praxisakteuren aus Stadtregionen des Ostseeraumes  statt, innerhalb derer Strategien zur Raumentwicklung und planerische Lösungsansätze zur Anpassung an die potenziellen Folgen des Klimawandels entworfen wurden.
Die Ergebnisse der verschiedenen Teilprojekte haben integrativ zur Beantwortung der Forschungsfragen beigetragen. Für die Raumplanung stellt sich die Herausforderung mit der Unsicherheit und großen Spannbreite der lokalen Ausprägung des Klimawandels umzugehen. Es wurde herausgestellt, dass die spezifischen Gegebenheiten des sozial-ökologischen Systems wie Lokalklima, Bevölkerungsverteilung, Landnutzung (mit Bezug zu Klimaregulation und kulturellen Leistungen der Landschaft) und insbesondere deren Wechselwirkungen die lokale Ausprägung und Auswirkungen des Klimawandels entscheidend beeinflussen. Dies birgt aber ebenso das Potenzial zur Anpassung an den Klimawandel in den Stadtregionen. Die zeitliche und räumliche Distanz zum Klimawandel im Zusammenspiel mit Themenkonkurrenz  im Praxiskontext führt jedoch derzeit zu einem  gering wahrgenommenen Handlungsdruck in Bezug auf Anpassung bei der Planungs- und Verwaltungspraxis. Es konnte gezeigt werden, dass inter- und transdisziplinäre Methoden von großer Bedeutung für den Austausch von Wissen sind, welcher die Anpassungskapazität entscheidend beeinflusst. Weiterhin konnten in Bezug auf die aktuellen Governancestrukturen und –prozesse hemmenden Faktoren identifiziert werden (wie z.B. sektorale Organisation),  welche für eine erfolgreiche Anpassung kritisch vor dem Hintergrund der spezifischen Charakteristika des Klimawandels reflektiert werden müssen. Durch eine systematische Analyse der Möglichkeiten des Regionalplans und des Flächennutzungsplans konnten konzeptionelle Ansatzpunkte  zur Weiterentwicklung des formellen Instrumentariums ausgearbeitet werden, um den Beitrag der Stadt- und Regionalplanung zur Anpassung an den Klimawandel zu erhöhen. Dennoch kann damit alleine nicht den aufgezeigten Herausforderungen begegnet werden, erforderlich scheint ein grundlegender Strategiewechsel innerhalb der räumlichen Planung, die Möglichkeiten aber auch neuen Fallstricke durch eine Orientierung am Konzept der transformativen Resilienz wurden aufgezeigt.
Die Nachwuchsgruppe konnte einen innovativen Beitrag zur sozial-ökologischen Forschung leisten durch den intensiven inter- und transdisziplären Ansatz. Dieser ermöglichte es nicht nur Ergebnisse zur lokalen Klimawandel –ausprägung, –auswirkung sowie -wahrnehmung zu generieren,  sondern auch Wissensaustausch- und Governanceprozesse zu analysieren und Lösungsansätze aus Planungsperspektive zu formulieren. 
plan B:altic erarbeitete Handlungsempfehlungen für die Stadt- und Regionalentwicklung zur Anpassung an die Folgen des Klimawandels. Die Handlungsempfehlungen, aber auch die Methode der Szenarioplanung können für Stadtregionen hohe Praxisrelevanz entfalten. Praktikerinnen und Praktikern werden wichtige Informationen als Entscheidungsgrundlagen und Handlungsoptionen an die Hand gegeben, die den Umgang mit Unsicherheiten und Komplexität ermöglichen. Der im Rahmen des Vorhabens durchgeführte Szenarioprozess gab erste Impulse zu einem langfristigen, nachhaltigen Anpassungsprozess in der Stadtregion Rostock."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:46:48Z
	Klimawandelanpassung			Beichler, Simone	doc-type:workingPaper	Students	https://repos.hcu-hamburg.de/handle/hcu/425						"Climate change impacts are expected for the urban regions of the Baltic Sea coast through rising temperature, sea-level rise and an increased intensity as well as frequency in extreme weather events. Climate change scenarios are accompanied with uncertainties, and the specific local consequences are difficult to predict. Therefore, striving for a sustainable regional and urban development, it is no longer sufficient to consider only the necessary mitigation measures of climate change, but it becomes also essential to develop comprehensive adaptation strategies. A challenge is to prepare for change and uncertainty in complex social-ecological settings and to become resilient towards unforeseen future impacts of climate change. While as the urban regions of the Baltic Sea Coast experience pressures for spatial development, for instance due to their economic activities and functions. In this setting, multiple challenges to planning arise due to the specific characteristics of climate change and social-ecological complexities. Also planning has to answer how to plan future land use structures and how to develop adaptation strategies towards climate change impacts and further change processes.  
Land- use planning, in the form of regional and urban planning, provides a unique venue for integrated and anticipatory approaches and seems, therefore, suitable to adapt land-use to climate change. However, initiatives and measures taken by land-use planning are also causing risks and harms in interrelation with future and unforeseen climate change impacts. For example, this happen through increased land consumption, soil sealing or river regulation interplaying with heavy rain falls and leading to severe floods. 
To achieve a comprehensive analysis of climate change impacts, of their interplays with further ongoing change processes in urban regions and to avoid partial world-views, plan B:altic integrated different scientific disciplines with their respective perspectives and approaches. Due to the inherent focus on uncertainty, surprises and complexity, (social-ecological) resilience thinking was used as a bridging concept in the interdisciplinary and transdisciplinary research work as well as a guiding principle for the development of adaptation strategies to climate change. To this end, it was cooperated closely with an array of planning practitioners and stakeholders in some urban regions of the Baltic Sea coast. Next to the inter- and transdisciplinary integration methods such as common case studies and transdisciplinary scenarios, a wide array of quantitative as well as qualitative methods was applied by the social, natural as well as engineering scientist who formed the research group plan B:altic and who worked on disciplinary driven subprojects as well. 
Main results were that the main challenges for land-use planning are to tackle the uncertainty and the wide range of potential climate change impacts in the specific local context. Specific local social-ecological assets such as local climate, land-use with reference to ecosystem services as well as their interdependencies influence decisively the then specific local impacts of climate change. But this also bears the potential for specific local adaptation measures. But as climate change is not the priority topic in local and regional planning practice but instead it is seen in concurrence with other, short-term interests, planning practitioners perceive a low urgency to act upon climate change adaptation. Also given governance processes as well as structures (such as sectoral fragmentation) are barriers of climate change adaptation as well as of an all-encompassing social-ecological perspective on urban regions in practice. Structured processes of science-practice collaborations are seen as supportive for further adaptation, as the plan B:altic scenario planning process had shown. This process gave explicit inputs to a politically adopted adaptation strategy framework of the core city of the German partner. 
With reference to formal planning instruments at the urban and regional scale the analysis provided the basis to develop further conceptual developments of these instruments to facilitate the adaptive capacity of land-use planning  However, these further conceptual developments do not seem to be sufficient in case of their implementation. It is considered as necessary to fundamentally change strategies within land-use planning. Within this context the opportunities but also restrictions of applying a transformative resilience perspective were shown."					col_hcu_15	
