,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;
37622.0,13957.0,3647.0,3044.0,20648.0,11318.0,2694.0,2478.0,16490.0,6957.0,2178.0,2497.0,11632.0,2653.0,654.0,681.0,3988.0,3471.0,1167.0,1124.0,5762.0,591.0,228.0,206.0,1025.0,274.0,103.0,157.0,534.0,794.0,169.0,128.0,1091.0,40015.0,10840.0,10315.0,61170.0,15934.0,3991.0,4098.0,24024.0,13218.0,2952.0,3264.0,19434.0,8134.0,2422.0,3149.0,13705.0,3217.0,721.0,850.0,4788.0,3935.0,1163.0,1369.0,6467.0,718.0,242.0,269.0,1229.0,344.0,134.0,202.0,680.0,869.0,203.0,159.0,1231.0,46369.0,11828.0,13361.0,71558.0,15720.0,3849.0,4128.0,23697.0,13332.0,2884.0,3221.0,19438.0,8154.0,2395.0,3031.0,13580.0,3201.0,689.0,827.0,4717.0,3946.0,1109.0,1281.0,6336.0,729.0,241.0,270.0,1240.0,341.0,136.0,185.0,662.0,856.0,177.0,159.0,1193.0,46280.0,11481.0,13102.0,70862.0
37653.0,14657.0,3508.0,3800.0,21965.0,12302.0,2804.0,3046.0,18152.0,7817.0,2306.0,2833.0,12956.0,3290.0,722.0,742.0,4754.0,3880.0,1117.0,1167.0,6164.0,619.0,220.0,230.0,1069.0,312.0,103.0,167.0,582.0,800.0,143.0,150.0,1093.0,43677.0,10923.0,12135.0,66735.0,15313.0,3743.0,4144.0,23200.0,12736.0,2896.0,3286.0,18919.0,8179.0,2389.0,2977.0,13545.0,3337.0,739.0,816.0,4893.0,4046.0,1151.0,1202.0,6399.0,747.0,236.0,270.0,1253.0,337.0,120.0,189.0,646.0,841.0,152.0,163.0,1156.0,45536.0,11426.0,13048.0,70010.0,15926.0,3933.0,4147.0,24006.0,13412.0,2941.0,3258.0,19612.0,8299.0,2442.0,3046.0,13788.0,3289.0,713.0,831.0,4833.0,4016.0,1144.0,1302.0,6462.0,758.0,239.0,282.0,1279.0,347.0,138.0,188.0,672.0,868.0,180.0,164.0,1213.0,46915.0,11732.0,13218.0,71865.0
37681.0,17089.0,4240.0,4212.0,25541.0,14020.0,2964.0,3424.0,20408.0,8847.0,2731.0,3265.0,14843.0,3562.0,753.0,832.0,5147.0,4317.0,1225.0,1375.0,6917.0,723.0,224.0,271.0,1218.0,405.0,168.0,196.0,769.0,958.0,151.0,161.0,1270.0,49921.0,12456.0,13736.0,76113.0,16401.0,3868.0,4019.0,24287.0,13775.0,2869.0,3342.0,19986.0,8370.0,2532.0,3055.0,13957.0,3458.0,734.0,826.0,5019.0,4086.0,1153.0,1347.0,6586.0,815.0,229.0,288.0,1332.0,341.0,161.0,176.0,679.0,895.0,168.0,160.0,1223.0,48142.0,11714.0,13214.0,73069.0,16213.0,4074.0,4195.0,24481.0,13577.0,3022.0,3284.0,19884.0,8445.0,2513.0,3086.0,14043.0,3367.0,734.0,841.0,4942.0,4098.0,1187.0,1342.0,6627.0,788.0,237.0,302.0,1327.0,347.0,141.0,188.0,676.0,884.0,184.0,170.0,1238.0,47718.0,12092.0,13408.0,73219.0
37712.0,15364.0,4227.0,3997.0,23588.0,12440.0,2957.0,2971.0,18368.0,8256.0,2329.0,2801.0,13386.0,3018.0,680.0,809.0,4507.0,3667.0,1101.0,1180.0,5948.0,631.0,224.0,322.0,1177.0,418.0,139.0,171.0,728.0,808.0,186.0,169.0,1163.0,44602.0,11843.0,12420.0,68865.0,16567.0,4646.0,4390.0,25604.0,13887.0,3118.0,3208.0,20213.0,8930.0,2627.0,3195.0,14751.0,3360.0,755.0,875.0,4990.0,4106.0,1247.0,1350.0,6703.0,856.0,247.0,347.0,1449.0,356.0,143.0,191.0,689.0,885.0,200.0,192.0,1278.0,48945.0,12984.0,13748.0,75677.0,16527.0,4228.0,4270.0,25025.0,13781.0,3101.0,3307.0,20190.0,8585.0,2588.0,3150.0,14323.0,3425.0,750.0,862.0,5037.0,4188.0,1227.0,1395.0,6810.0,818.0,235.0,323.0,1376.0,344.0,142.0,187.0,673.0,899.0,188.0,173.0,1260.0,48566.0,12460.0,13666.0,74692.0
37742.0,16920.0,4582.0,4757.0,26259.0,13975.0,3489.0,3589.0,21053.0,8842.0,2753.0,3372.0,14967.0,3581.0,783.0,909.0,5273.0,4199.0,1326.0,1602.0,7127.0,743.0,250.0,461.0,1454.0,440.0,157.0,192.0,789.0,946.0,206.0,188.0,1340.0,49646.0,13546.0,15070.0,78262.0,17032.0,4333.0,4302.0,25667.0,14271.0,3242.0,3341.0,20854.0,9032.0,2644.0,3161.0,14838.0,3526.0,742.0,841.0,5109.0,4299.0,1276.0,1447.0,7022.0,820.0,235.0,350.0,1405.0,353.0,140.0,180.0,673.0,940.0,201.0,168.0,1309.0,50274.0,12811.0,13792.0,76877.0,16869.0,4340.0,4365.0,25573.0,13981.0,3152.0,3342.0,20475.0,8731.0,2640.0,3232.0,14603.0,3464.0,761.0,893.0,5118.0,4278.0,1252.0,1449.0,6980.0,852.0,233.0,339.0,1425.0,340.0,141.0,185.0,665.0,912.0,190.0,173.0,1275.0,49427.0,12709.0,13977.0,76114.0
37773.0,19938.0,5277.0,5953.0,31168.0,15898.0,3783.0,4451.0,24132.0,10191.0,3335.0,4558.0,18084.0,3869.0,913.0,1307.0,6089.0,4892.0,1635.0,2135.0,8662.0,821.0,252.0,476.0,1549.0,416.0,193.0,257.0,866.0,1061.0,213.0,234.0,1508.0,57086.0,15601.0,19371.0,92058.0,17313.0,4387.0,4479.0,26179.0,14123.0,3359.0,3353.0,20836.0,8250.0,2740.0,3236.0,14226.0,3383.0,770.0,944.0,5097.0,4404.0,1304.0,1584.0,7292.0,867.0,220.0,355.0,1442.0,317.0,143.0,192.0,652.0,927.0,197.0,178.0,1302.0,49586.0,13121.0,14321.0,77027.0,17160.0,4384.0,4467.0,26011.0,14149.0,3164.0,3386.0,20700.0,8884.0,2668.0,3322.0,14874.0,3496.0,769.0,927.0,5191.0,4342.0,1259.0,1492.0,7093.0,899.0,233.0,348.0,1479.0,336.0,137.0,183.0,656.0,921.0,192.0,172.0,1284.0,50188.0,12805.0,14296.0,77289.0
37803.0,17686.0,4529.0,4768.0,26983.0,14379.0,3308.0,3561.0,21248.0,9549.0,2735.0,3432.0,15716.0,3547.0,765.0,986.0,5298.0,4278.0,1191.0,1504.0,6973.0,802.0,244.0,361.0,1407.0,331.0,124.0,180.0,635.0,878.0,206.0,177.0,1261.0,51450.0,13102.0,14969.0,79521.0,17056.0,4302.0,4657.0,26016.0,14137.0,3146.0,3515.0,20797.0,8971.0,2653.0,3626.0,15250.0,3538.0,775.0,996.0,5310.0,4411.0,1219.0,1556.0,7186.0,913.0,241.0,346.0,1500.0,342.0,124.0,185.0,651.0,890.0,188.0,174.0,1253.0,50259.0,12647.0,15056.0,77962.0,17352.0,4379.0,4555.0,26286.0,14264.0,3138.0,3435.0,20837.0,9038.0,2681.0,3409.0,15129.0,3528.0,774.0,956.0,5258.0,4372.0,1255.0,1518.0,7146.0,951.0,235.0,348.0,1533.0,334.0,133.0,181.0,648.0,926.0,191.0,170.0,1288.0,50766.0,12786.0,14572.0,78125.0
37834.0,16590.0,4291.0,4510.0,25391.0,13670.0,2803.0,3326.0,19799.0,9335.0,2586.0,3327.0,15248.0,3539.0,779.0,945.0,5263.0,4455.0,1189.0,1404.0,7048.0,1059.0,226.0,304.0,1589.0,269.0,122.0,164.0,555.0,952.0,185.0,143.0,1280.0,49869.0,12181.0,14123.0,76173.0,17223.0,4483.0,4609.0,26315.0,14061.0,2932.0,3383.0,20377.0,9312.0,2694.0,3465.0,15472.0,3581.0,789.0,983.0,5353.0,4397.0,1265.0,1496.0,7158.0,1028.0,242.0,329.0,1599.0,311.0,126.0,163.0,600.0,952.0,187.0,146.0,1285.0,50866.0,12718.0,14575.0,78159.0,17396.0,4356.0,4615.0,26367.0,14301.0,3100.0,3480.0,20882.0,9173.0,2698.0,3483.0,15354.0,3557.0,781.0,975.0,5313.0,4370.0,1251.0,1527.0,7148.0,995.0,238.0,342.0,1575.0,333.0,129.0,180.0,642.0,927.0,190.0,170.0,1286.0,51053.0,12743.0,14771.0,78568.0
37865.0,17341.0,3898.0,4499.0,25738.0,14719.0,2860.0,3621.0,21200.0,9383.0,2538.0,3372.0,15293.0,3601.0,717.0,904.0,5222.0,4423.0,1071.0,1400.0,6894.0,1129.0,200.0,310.0,1639.0,288.0,128.0,177.0,593.0,865.0,178.0,169.0,1212.0,51749.0,11590.0,14452.0,77791.0,17510.0,4241.0,4578.0,26330.0,14269.0,3029.0,3633.0,20931.0,9482.0,2641.0,3490.0,15614.0,3579.0,787.0,968.0,5334.0,4305.0,1192.0,1467.0,6964.0,986.0,234.0,341.0,1562.0,347.0,135.0,188.0,671.0,914.0,171.0,162.0,1247.0,51394.0,12431.0,14828.0,78652.0,17285.0,4342.0,4649.0,26276.0,14260.0,3081.0,3511.0,20852.0,9271.0,2728.0,3543.0,15542.0,3571.0,785.0,984.0,5340.0,4344.0,1250.0,1522.0,7116.0,1017.0,244.0,335.0,1596.0,332.0,127.0,180.0,639.0,924.0,187.0,170.0,1281.0,51003.0,12744.0,14894.0,78642.0
37895.0,17020.0,3977.0,4536.0,25533.0,14850.0,2979.0,3508.0,21337.0,9347.0,2669.0,3505.0,15521.0,3707.0,769.0,954.0,5430.0,4729.0,1238.0,1520.0,7487.0,1295.0,383.0,330.0,2008.0,313.0,108.0,186.0,607.0,919.0,195.0,188.0,1302.0,52180.0,12318.0,14727.0,79225.0,16363.0,4165.0,4702.0,25230.0,13957.0,3050.0,3533.0,20540.0,9544.0,2738.0,3571.0,15853.0,3605.0,778.0,996.0,5379.0,4321.0,1255.0,1527.0,7104.0,1156.0,355.0,347.0,1858.0,336.0,114.0,186.0,636.0,886.0,192.0,202.0,1280.0,50169.0,12648.0,15064.0,77880.0,17060.0,4359.0,4669.0,26089.0,14144.0,3100.0,3526.0,20770.0,9330.0,2773.0,3608.0,15711.0,3559.0,787.0,985.0,5332.0,4311.0,1256.0,1522.0,7089.0,1007.0,251.0,334.0,1591.0,333.0,129.0,181.0,642.0,913.0,186.0,172.0,1271.0,50657.0,12841.0,14998.0,78496.0
37926.0,16006.0,4441.0,4652.0,25099.0,13861.0,3030.0,3363.0,20254.0,8627.0,2771.0,3660.0,15058.0,3509.0,761.0,944.0,5214.0,4153.0,1285.0,1487.0,6925.0,1170.0,259.0,288.0,1717.0,316.0,136.0,178.0,630.0,840.0,209.0,166.0,1215.0,48482.0,12892.0,14738.0,76112.0,15860.0,4506.0,4751.0,25117.0,13943.0,3200.0,3466.0,20609.0,9204.0,2919.0,3736.0,15859.0,3525.0,800.0,977.0,5303.0,4188.0,1314.0,1559.0,7061.0,1006.0,267.0,297.0,1570.0,359.0,143.0,174.0,677.0,872.0,205.0,168.0,1245.0,48957.0,13355.0,15127.0,77439.0,16759.0,4400.0,4688.0,25847.0,13975.0,3142.0,3533.0,20649.0,9356.0,2821.0,3683.0,15859.0,3526.0,783.0,986.0,5295.0,4288.0,1269.0,1534.0,7091.0,967.0,256.0,338.0,1560.0,336.0,130.0,185.0,651.0,897.0,186.0,173.0,1256.0,50103.0,12986.0,15120.0,78209.0
37956.0,16131.0,4553.0,4429.0,25113.0,14407.0,3203.0,3461.0,21071.0,8960.0,2827.0,3478.0,15265.0,3587.0,812.0,1005.0,5404.0,4326.0,1277.0,1558.0,7161.0,1180.0,305.0,375.0,1860.0,269.0,135.0,189.0,593.0,974.0,184.0,161.0,1319.0,49834.0,13296.0,14656.0,77786.0,16490.0,4595.0,4609.0,25693.0,13765.0,3192.0,3566.0,20524.0,9115.0,2869.0,3652.0,15636.0,3486.0,757.0,963.0,5206.0,4324.0,1292.0,1561.0,7176.0,780.0,263.0,365.0,1407.0,322.0,131.0,199.0,652.0,922.0,177.0,175.0,1274.0,49203.0,13276.0,15090.0,77568.0,16451.0,4431.0,4712.0,25594.0,13795.0,3190.0,3546.0,20531.0,9349.0,2862.0,3772.0,15983.0,3476.0,778.0,990.0,5244.0,4281.0,1287.0,1560.0,7128.0,912.0,259.0,344.0,1514.0,344.0,133.0,191.0,669.0,878.0,185.0,174.0,1237.0,49486.0,13125.0,15289.0,77900.0
37987.0,13706.0,3971.0,3539.0,21216.0,11054.0,3196.0,2607.0,16857.0,7688.0,2625.0,3090.0,13403.0,2807.0,747.0,780.0,4334.0,3741.0,1251.0,1257.0,6249.0,697.0,244.0,252.0,1193.0,253.0,103.0,142.0,498.0,769.0,154.0,124.0,1047.0,40715.0,12291.0,11791.0,64797.0,15868.0,4440.0,4739.0,25047.0,13105.0,3445.0,3504.0,20054.0,9210.0,2952.0,3896.0,16058.0,3364.0,828.0,993.0,5185.0,4306.0,1287.0,1541.0,7134.0,843.0,260.0,332.0,1436.0,323.0,132.0,187.0,642.0,851.0,181.0,157.0,1188.0,47869.0,13527.0,15348.0,76744.0,16197.0,4469.0,4743.0,25409.0,13651.0,3235.0,3566.0,20451.0,9343.0,2894.0,3863.0,16100.0,3419.0,780.0,999.0,5198.0,4283.0,1306.0,1597.0,7185.0,862.0,259.0,352.0,1473.0,358.0,137.0,197.0,692.0,861.0,183.0,174.0,1218.0,48974.0,13264.0,15491.0,77729.0
38018.0,16077.0,4364.0,4514.0,24955.0,13186.0,3102.0,3439.0,19727.0,9243.0,2778.0,3880.0,15901.0,3333.0,754.0,972.0,5059.0,4187.0,1320.0,1606.0,7113.0,694.0,248.0,355.0,1297.0,362.0,127.0,197.0,686.0,794.0,172.0,173.0,1139.0,47876.0,12865.0,15136.0,75877.0,16316.0,4468.0,4786.0,25570.0,13506.0,3177.0,3623.0,20306.0,9617.0,2881.0,4024.0,16523.0,3344.0,756.0,1040.0,5140.0,4276.0,1321.0,1654.0,7250.0,828.0,262.0,412.0,1502.0,380.0,147.0,208.0,735.0,815.0,184.0,183.0,1183.0,49082.0,13196.0,15930.0,78209.0,16030.0,4520.0,4780.0,25329.0,13546.0,3272.0,3589.0,20407.0,9368.0,2924.0,3946.0,16238.0,3367.0,793.0,1006.0,5166.0,4288.0,1323.0,1634.0,7245.0,834.0,259.0,358.0,1451.0,375.0,142.0,201.0,719.0,849.0,183.0,174.0,1206.0,48656.0,13416.0,15689.0,77761.0
38047.0,17594.0,5182.0,5342.0,28118.0,14772.0,3475.0,3890.0,22137.0,10767.0,3398.0,4446.0,18611.0,3669.0,847.0,1045.0,5561.0,4771.0,1486.0,1829.0,8086.0,749.0,257.0,337.0,1343.0,517.0,164.0,231.0,912.0,889.0,196.0,193.0,1278.0,53728.0,15005.0,17313.0,86046.0,15882.0,4515.0,4856.0,25253.0,13594.0,3204.0,3611.0,20409.0,9501.0,2913.0,4065.0,16479.0,3397.0,777.0,1000.0,5173.0,4351.0,1335.0,1712.0,7398.0,830.0,252.0,338.0,1420.0,415.0,145.0,212.0,772.0,791.0,186.0,178.0,1155.0,48761.0,13326.0,15972.0,78059.0,15941.0,4583.0,4811.0,25336.0,13459.0,3315.0,3611.0,20385.0,9405.0,2966.0,4005.0,16376.0,3328.0,815.0,1004.0,5148.0,4289.0,1342.0,1666.0,7296.0,826.0,261.0,363.0,1451.0,389.0,148.0,204.0,740.0,842.0,186.0,175.0,1203.0,48479.0,13616.0,15840.0,77935.0
38078.0,14381.0,4150.0,4502.0,23033.0,12464.0,3085.0,3534.0,19083.0,8477.0,2657.0,3697.0,14831.0,2973.0,742.0,955.0,4670.0,3816.0,1202.0,1511.0,6529.0,658.0,241.0,330.0,1229.0,490.0,125.0,197.0,812.0,820.0,149.0,149.0,1118.0,44079.0,12351.0,14875.0,71305.0,15991.0,4601.0,4791.0,25383.0,13917.0,3170.0,3695.0,20783.0,9461.0,2964.0,3963.0,16388.0,3331.0,808.0,1006.0,5144.0,4247.0,1363.0,1651.0,7261.0,862.0,263.0,348.0,1473.0,408.0,137.0,207.0,753.0,934.0,169.0,166.0,1269.0,49152.0,13476.0,15827.0,78455.0,15861.0,4659.0,4827.0,25347.0,13360.0,3377.0,3625.0,20361.0,9441.0,3029.0,4037.0,16506.0,3305.0,843.0,995.0,5143.0,4288.0,1365.0,1690.0,7343.0,834.0,267.0,369.0,1470.0,395.0,154.0,205.0,753.0,836.0,192.0,175.0,1203.0,48320.0,13885.0,15922.0,78126.0
38108.0,15547.0,4915.0,5187.0,25649.0,12451.0,3829.0,3826.0,20106.0,8958.0,3155.0,4260.0,16373.0,3165.0,997.0,1053.0,5215.0,3997.0,1461.0,1838.0,7296.0,755.0,279.0,479.0,1513.0,494.0,213.0,211.0,918.0,801.0,203.0,205.0,1209.0,46168.0,15052.0,17059.0,78279.0,15876.0,4696.0,4883.0,25455.0,13118.0,3833.0,3606.0,20557.0,9236.0,3157.0,4105.0,16498.0,3180.0,977.0,1006.0,5163.0,4293.0,1451.0,1741.0,7485.0,857.0,277.0,390.0,1523.0,413.0,195.0,201.0,810.0,800.0,217.0,190.0,1206.0,47774.0,14803.0,16120.0,78697.0,15786.0,4738.0,4822.0,25346.0,13213.0,3466.0,3629.0,20309.0,9472.0,3113.0,4060.0,16646.0,3306.0,871.0,985.0,5163.0,4298.0,1395.0,1704.0,7398.0,851.0,280.0,374.0,1505.0,394.0,159.0,205.0,758.0,830.0,199.0,173.0,1202.0,48150.0,14222.0,15953.0,78325.0
38139.0,18871.0,6217.0,6350.0,31438.0,15222.0,4089.0,4618.0,23929.0,12594.0,4068.0,5364.0,22026.0,4036.0,1084.0,1316.0,6436.0,4948.0,1716.0,2305.0,8969.0,1112.0,355.0,515.0,1982.0,512.0,194.0,252.0,958.0,989.0,258.0,227.0,1474.0,58284.0,17981.0,20947.0,97212.0,15759.0,5119.0,4774.0,25652.0,13143.0,3479.0,3567.0,20190.0,9589.0,3213.0,3964.0,16767.0,3388.0,893.0,952.0,5232.0,4314.0,1341.0,1728.0,7383.0,1174.0,295.0,370.0,1839.0,380.0,132.0,194.0,705.0,839.0,207.0,168.0,1213.0,48584.0,14679.0,15717.0,78980.0,15748.0,4816.0,4799.0,25363.0,13074.0,3579.0,3624.0,20276.0,9510.0,3204.0,4090.0,16804.0,3336.0,897.0,979.0,5212.0,4342.0,1435.0,1711.0,7488.0,869.0,296.0,380.0,1545.0,389.0,163.0,206.0,759.0,824.0,205.0,170.0,1199.0,48092.0,14595.0,15959.0,78645.0
38169.0,15501.0,4683.0,4847.0,25031.0,12202.0,3592.0,3616.0,19410.0,9795.0,3248.0,4098.0,17141.0,3202.0,836.0,911.0,4949.0,4204.0,1402.0,1622.0,7228.0,765.0,282.0,402.0,1449.0,261.0,180.0,205.0,646.0,794.0,219.0,168.0,1181.0,46724.0,14442.0,15869.0,77035.0,15556.0,4743.0,4838.0,25137.0,12422.0,3575.0,3643.0,19639.0,9492.0,3299.0,4295.0,17086.0,3302.0,895.0,930.0,5127.0,4406.0,1495.0,1662.0,7563.0,861.0,299.0,393.0,1553.0,276.0,181.0,215.0,673.0,831.0,220.0,165.0,1216.0,47146.0,14706.0,16142.0,77993.0,15805.0,4859.0,4760.0,25425.0,13029.0,3685.0,3611.0,20325.0,9559.0,3276.0,4137.0,16971.0,3380.0,918.0,979.0,5277.0,4411.0,1470.0,1712.0,7593.0,888.0,312.0,387.0,1587.0,382.0,166.0,210.0,758.0,821.0,208.0,167.0,1197.0,48274.0,14894.0,15964.0,79132.0
38200.0,15360.0,4748.0,4687.0,24795.0,13440.0,3757.0,3653.0,20850.0,9925.0,3351.0,3993.0,17269.0,3555.0,897.0,962.0,5414.0,4437.0,1422.0,1654.0,7513.0,857.0,356.0,372.0,1585.0,298.0,165.0,214.0,677.0,777.0,214.0,150.0,1141.0,48649.0,14910.0,15685.0,79244.0,15633.0,4799.0,4644.0,25075.0,13166.0,3791.0,3641.0,20597.0,9682.0,3361.0,4028.0,17071.0,3494.0,901.0,993.0,5388.0,4379.0,1487.0,1711.0,7578.0,838.0,366.0,401.0,1605.0,338.0,170.0,211.0,719.0,759.0,199.0,154.0,1112.0,48289.0,15072.0,15782.0,79143.0,15919.0,4856.0,4732.0,25508.0,13129.0,3760.0,3608.0,20497.0,9601.0,3310.0,4200.0,17110.0,3413.0,934.0,987.0,5334.0,4479.0,1492.0,1714.0,7685.0,911.0,326.0,395.0,1631.0,374.0,166.0,215.0,755.0,822.0,209.0,165.0,1196.0,48648.0,15052.0,16016.0,79717.0
38231.0,16027.0,4660.0,4554.0,25241.0,13407.0,3779.0,3635.0,20821.0,9851.0,3218.0,4119.0,17188.0,3332.0,924.0,1033.0,5289.0,4928.0,1524.0,1725.0,8177.0,1198.0,271.0,386.0,1855.0,373.0,147.0,219.0,739.0,795.0,192.0,155.0,1142.0,49911.0,14715.0,15826.0,80452.0,15959.0,4895.0,4664.0,25519.0,13254.0,3875.0,3555.0,20684.0,9769.0,3317.0,4192.0,17279.0,3373.0,954.0,1040.0,5367.0,4639.0,1574.0,1739.0,7952.0,1038.0,311.0,401.0,1750.0,448.0,157.0,218.0,823.0,839.0,201.0,156.0,1196.0,49320.0,15284.0,15966.0,80570.0,16069.0,4821.0,4733.0,25623.0,13367.0,3798.0,3627.0,20792.0,9646.0,3313.0,4262.0,17222.0,3427.0,945.0,1000.0,5372.0,4537.0,1499.0,1719.0,7755.0,934.0,335.0,403.0,1672.0,368.0,165.0,220.0,754.0,829.0,207.0,164.0,1200.0,49178.0,15085.0,16127.0,80390.0
38261.0,16862.0,4305.0,4454.0,25621.0,15627.0,3641.0,3479.0,22747.0,8840.0,2985.0,4254.0,16079.0,3598.0,882.0,933.0,5413.0,4895.0,1376.0,1604.0,7875.0,1273.0,361.0,347.0,1981.0,327.0,152.0,230.0,709.0,868.0,205.0,169.0,1242.0,52290.0,13907.0,15470.0,81667.0,17236.0,4735.0,4804.0,26775.0,15652.0,3986.0,3750.0,23387.0,9737.0,3338.0,4593.0,17668.0,3670.0,979.0,1044.0,5693.0,4687.0,1504.0,1720.0,7911.0,1183.0,350.0,396.0,1928.0,374.0,169.0,241.0,784.0,877.0,211.0,187.0,1275.0,53416.0,15271.0,16735.0,85422.0,16206.0,4796.0,4752.0,25754.0,13653.0,3829.0,3653.0,21135.0,9706.0,3312.0,4302.0,17320.0,3423.0,958.0,1010.0,5391.0,4582.0,1501.0,1724.0,7806.0,956.0,340.0,407.0,1704.0,366.0,164.0,223.0,753.0,848.0,205.0,162.0,1215.0,49741.0,15104.0,16233.0,81078.0
38292.0,16775.0,4974.0,4870.0,26619.0,15843.0,3742.0,3467.0,23052.0,9428.0,3347.0,4342.0,17117.0,3556.0,940.0,954.0,5450.0,4892.0,1514.0,1751.0,8157.0,1182.0,348.0,414.0,1944.0,312.0,153.0,229.0,694.0,900.0,239.0,163.0,1302.0,52888.0,15257.0,16190.0,84335.0,15984.0,4987.0,4729.0,25700.0,14709.0,3729.0,3431.0,21869.0,9679.0,3293.0,4212.0,17184.0,3348.0,960.0,959.0,5267.0,4785.0,1549.0,1755.0,8089.0,947.0,339.0,414.0,1700.0,343.0,159.0,224.0,726.0,885.0,208.0,156.0,1249.0,50680.0,15223.0,15880.0,81783.0,16323.0,4805.0,4771.0,25899.0,13881.0,3868.0,3666.0,21415.0,9795.0,3331.0,4314.0,17440.0,3410.0,969.0,1014.0,5392.0,4617.0,1502.0,1730.0,7849.0,975.0,343.0,410.0,1727.0,367.0,165.0,222.0,754.0,873.0,204.0,162.0,1239.0,50240.0,15187.0,16287.0,81714.0
